T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
3.4,10,1500,1000,1,0.20150666666666722,0.06172453333333344,0.009847679893333322,0.004741409428406114,0.29834491289918336,0.22978864085736966,2024-03-26 19:11:56.036237
3.3,10,1500,1000,1,0.2232800000000004,0.07482453333333336,0.01440935893333331,0.005180217127094053,0.3059881346990044,0.23429625933739934,2024-03-26 19:11:57.824293
3.2,10,1500,1000,1,0.23657333333333372,0.0852434666666667,0.01941333066666658,0.0057863321334720615,0.357725771524058,0.26347424423012017,2024-03-26 19:11:59.297906
3.1,10,1500,1000,1,0.2394799999999996,0.08536879999999988,0.017650697919999937,0.005525457932607007,0.31725705286755534,0.2408467293281247,2024-03-26 19:12:00.743660
3.0,10,1500,1000,1,0.2543866666666665,0.09753679999999984,0.02414926112,0.00613828782918546,0.360917024527274,0.2652013444042568,2024-03-26 19:12:02.128539
2.98,10,1500,1000,1,0.2653866666666667,0.10612746666666661,0.02789817322666659,0.006409074057778737,0.3630092575409233,0.2663292677819719,2024-03-26 19:12:03.414504
2.96,10,1500,1000,1,0.26872000000000057,0.10762346666666671,0.027839078826666665,0.00636556692622147,0.3581681151442031,0.2637141243049832,2024-03-26 19:12:04.788025
2.94,10,1500,1000,1,0.31782666666666687,0.14535333333333278,0.04756965621333331,0.007044583612212734,0.33942269002621084,0.25340969102111355,2024-03-26 19:12:06.247032
2.92,10,1500,1000,1,0.29150666666666736,0.1280258666666666,0.04020413834666668,0.007121433372111166,0.3835388745604854,0.277215827912552,2024-03-26 19:12:07.562209
2.9,10,1500,1000,1,0.2786533333333339,0.1116210666666665,0.027482949866666728,0.006108638617195663,0.32378008815147497,0.24458751952040697,2024-03-26 19:12:08.961436
2.88,10,1500,1000,1,0.3074133333333342,0.13711146666666654,0.04293282986666677,0.006964547878665962,0.3537894445652107,0.26133269540954013,2024-03-26 19:12:10.344394
2.86,10,1500,1000,1,0.32014666666666736,0.1468525333333329,0.04762094005333327,0.00705307875837848,0.34108610278971346,0.25433572242691177,2024-03-26 19:12:11.708987
