T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
1.4,20,2100,2100,1,0.9913761904761711,0.9828872142857197,0.9663026647482098,0.00016968718761915,2.9892328577400932e-05,2.9891435052802684e-05,2024-04-02 19:37:57.382838
1.3,20,2100,2100,1,0.9947142857142658,0.9894910476190528,0.979228020319041,0.00012824620163948082,2.128535964662328e-05,2.1284906589731473e-05,2024-04-02 19:38:04.156965
1.2,20,2100,2100,1,0.9970809523809372,0.9941879047619092,0.9884786120083282,9.123322618680674e-05,5.49924847539925e-06,5.499218233831762e-06,2024-04-02 19:38:11.014043
1.1,20,2100,2100,1,0.9984880952380852,0.9969871785714319,0.9940179179830319,6.437341235751489e-05,1.5402153321888928e-06,1.540212959929277e-06,2024-04-02 19:38:17.998052
1.0,20,2100,2100,1,0.9993119047618984,0.9986279404761927,0.9972722933127952,4.173320116367698e-05,1.2067535702261167e-06,1.2067521139736947e-06,2024-04-02 19:38:25.014045
0.9,20,2100,2100,1,0.999728571428569,0.999458571428572,0.9989228257607131,2.540059560686701e-05,5.814035637158522e-07,5.814032256859449e-07,2024-04-02 19:38:31.790175
0.8,20,2100,2100,1,0.9999190476190467,0.9998385000000003,0.9996786109624995,1.3770373796909475e-05,1.1251251516698575e-07,1.125125025079211e-07,2024-04-02 19:38:38.442379
0.7,20,2100,2100,1,0.999992857142857,0.9999857500000001,0.99997164214375,4.120983846898972e-06,1.1853910602627241e-08,1.1853910462112047e-08,2024-04-02 19:38:45.279472
0.6,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:38:52.042624
0.5,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:38:58.773765
0.4,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:39:05.579892
0.3,20,2100,2100,1,1.0,1.0,1.0,0.0,0.0,0.0,2024-04-02 19:39:12.485943
