T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
3.3,40,500,100,5,0.05584250000000001,0.004826703124999998,6.385940496582026e-05,0.0020152438735982522,0.4716416325200278,0.08619746397806534,2024-03-23 11:50:27.743482
3.2,40,500,100,5,0.05959000000000004,0.005810881249999996,0.00010339407186523453,0.0024494992255100784,0.8187373017932669,0.14070703991756794,2024-03-23 11:50:50.765334
3.1,40,500,100,5,0.06807250000000005,0.007078615625,0.00013532767840332047,0.002536260323948635,0.7889945089388861,0.13629215016883953,2024-03-23 11:51:20.816446
3.0,40,500,100,5,0.07095500000000006,0.008246237500000001,0.00021186004761718772,0.0030973258873626046,1.2338676813361016,0.19792971946296548,2024-03-23 11:51:41.873878
2.9,40,500,100,5,0.07317,0.008384256249999998,0.00021097709110351584,0.002971636716216394,1.1425073237948349,0.18600015654340235,2024-03-23 11:52:02.468243
2.8,40,500,100,5,0.08108750000000008,0.010030271875000003,0.0002858268599365234,0.003209134594658132,1.22586067775896,0.19689818664561196,2024-03-23 11:52:23.176189
2.7,40,500,100,5,0.10881249999999992,0.018345184374999986,0.0009291420694873044,0.004696274139440289,1.7380685396229176,0.2579475897881242,2024-03-23 11:52:44.397588
2.6,40,500,100,5,0.11218749999999995,0.019282978125,0.001061453666762695,0.004816577413145691,1.8302253888604167,0.2679597355374797,2024-03-23 11:53:05.117994
2.5,40,500,100,5,0.136975,0.03252958749999998,0.004033177192128904,0.00781982608419268,3.052021097156869,0.3790378912735988,2024-03-23 11:53:25.175851
2.4,40,500,100,5,0.2853350000000001,0.11809718125000003,0.028424398188291046,0.011670292234213174,2.1412065816173826,0.29983820761174923,2024-03-23 11:53:45.908660
2.39,40,500,500,5,0.3105850000000002,0.12902045624999992,0.031724127820400405,0.01031599875997195,1.5858523934834974,0.24079683216900677,2024-03-23 11:54:09.293531
2.38,40,500,500,5,0.23161750000000011,0.08226082812500002,0.015121202291958017,0.010694476807871372,2.4962949691904988,0.3330038344875943,2024-03-23 11:54:32.605272
2.37,40,500,500,5,0.34137250000000036,0.145697521875,0.03849897586577636,0.00923257396751664,1.1537031821044688,0.18748112282365895,2024-03-23 11:54:56.700579
2.36,40,500,500,5,0.3976774999999999,0.18419017812499994,0.047768771262426804,0.008274245729584396,0.7860898282498823,0.13585855933516516,2024-03-23 11:55:21.526041
2.35,40,500,500,5,0.37768499999999977,0.1764248749999999,0.04818671901312502,0.00990746863542509,1.1323669850653926,0.1846541454259228,2024-03-23 11:55:49.080702
2.34,40,500,500,5,0.2743,0.11467395625000006,0.034974582352744144,0.012499977004700673,2.45294479464018,0.3291242404484502,2024-03-23 11:56:13.044208
